City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Biak,ID,77.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
7,Ponta Do Sol,PT,75.0,few clouds,32.6667,-17.1,Hotel do Campo
11,Georgetown,MY,81.9,moderate rain,5.4112,100.3354,Cititel Penang
13,Rikitea,PF,74.46,broken clouds,-23.1203,-134.9692,People ThankYou
21,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
23,Souillac,MU,76.35,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
25,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
26,Castanos,MX,74.97,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
29,Emerald,AU,77.14,overcast clouds,-23.5333,148.1667,The Irish Village
31,Niteroi,BR,83.86,clear sky,-22.8833,-43.1036,Guesthouse
32,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
35,Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
37,Atuona,PF,77.79,few clouds,-9.8,-139.0333,Villa Enata
40,Marsa Matruh,EG,71.96,clear sky,31.3525,27.2453,Beau Site
41,Castro,BR,75.54,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
43,Lithakia,GR,72.77,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
45,Acapulco,MX,73.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
46,Mannarakkat,IN,80.15,overcast clouds,10.9833,76.4667,The Park Residency
52,Norsup,VU,78.44,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
55,Kalmunai,LK,79.99,broken clouds,7.4167,81.8167,VS Villa
56,Hithadhoo,MV,82.11,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Saint-Philippe,RE,77.49,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Carnarvon,AU,71.65,clear sky,-24.8667,113.6333,Hospitality Carnarvon
70,Bodden Town,KY,87.01,few clouds,19.2833,-81.25,Will T Place
76,Richards Bay,ZA,81.77,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
77,Cidreira,BR,75.13,broken clouds,-30.1811,-50.2056,Hotel Castelo
86,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
87,Victoria,HK,70.32,light rain,22.2855,114.1577,Mini Hotel Central
88,Champerico,GT,89.76,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
94,Shenzhen,CN,70.21,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
95,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
97,Sao Felix Do Xingu,BR,89.11,moderate rain,-6.6447,-51.995,Rio Xingu Camping
100,Ben Tre,VN,75.94,light rain,10.2333,106.3833,bentre kiwi oasis hotel company ltd
101,Manadhoo,MV,81.43,few clouds,5.7667,73.3833,Reason Inn
102,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
103,Baghdad,IQ,80.51,broken clouds,33.3406,44.4009,Baghdad Hotel
105,Ugoofaaru,MV,81.27,few clouds,5.6667,73.0,Ungoofaaru Inn
107,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
108,Kovur,IN,82.38,overcast clouds,14.4833,79.9833,Hotel Yesh Park
118,Hilo,US,72.81,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
120,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
127,San Fernando,PH,80.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
