,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Raudeberg,NO,61.9875,5.1352,45.27,72,100,5.01,overcast clouds
1,Solana Beach,US,32.9912,-117.2711,62.67,91,90,1.99,mist
2,Hoquiam,US,46.9809,-123.8893,52.93,65,90,9.22,moderate rain
3,Biak,ID,-0.9131,122.8766,77.4,76,98,2.24,overcast clouds
4,Bluff,NZ,-46.6,168.3333,52.86,85,100,5.21,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,41.43,moderate rain
6,Westport,US,41.1415,-73.3579,58.89,58,90,11.5,overcast clouds
7,Ponta Do Sol,PT,32.6667,-17.1,75.0,70,16,5.64,few clouds
8,Iqaluit,CA,63.7506,-68.5145,25.7,86,91,1.99,overcast clouds
9,Pevek,RU,69.7008,170.3133,12.51,94,100,5.97,light snow
10,Nemuro,JP,43.3236,145.575,45.25,71,52,10.98,broken clouds
11,Georgetown,MY,5.4112,100.3354,81.9,86,40,0.0,moderate rain
12,Oskarshamn,SE,57.2645,16.4484,45.81,57,7,8.32,clear sky
13,Rikitea,PF,-23.1203,-134.9692,74.46,81,57,20.67,broken clouds
14,Upernavik,GL,72.7868,-56.1549,17.67,85,68,3.98,broken clouds
15,Kruisfontein,ZA,-34.0033,24.7314,64.89,58,2,26.87,clear sky
16,Barrow,US,71.2906,-156.7887,30.22,86,90,14.97,light snow
17,Warmbad,NA,-28.45,18.7333,60.82,51,77,9.73,broken clouds
18,Provideniya,RU,64.3833,-173.3,24.15,78,100,8.59,overcast clouds
19,Beloha,MG,-25.1667,45.05,76.1,62,20,10.02,few clouds
20,Hermanus,ZA,-34.4187,19.2345,64.9,66,78,13.51,light rain
21,Ponta Delgada,PT,37.7333,-25.6667,72.32,68,20,10.36,few clouds
22,Lasa,IT,46.6166,10.7002,61.54,42,7,1.21,clear sky
23,Souillac,MU,-20.5167,57.5167,76.35,76,3,11.14,clear sky
24,Tambo,PE,-14.8,-73.9167,52.41,24,7,8.63,clear sky
25,Quatre Cocos,MU,-20.2078,57.7625,76.08,77,27,10.04,scattered clouds
26,Castanos,MX,26.7833,-101.4167,74.97,62,0,3.13,clear sky
27,Montepuez,MZ,-13.1256,38.9997,91.9,21,7,4.34,clear sky
28,Busselton,AU,-33.65,115.3333,56.08,85,2,7.56,clear sky
29,Emerald,AU,-23.5333,148.1667,77.14,73,100,6.91,overcast clouds
30,Saint George,US,37.1041,-113.5841,63.36,37,1,0.0,clear sky
31,Niteroi,BR,-22.8833,-43.1036,83.86,66,0,10.36,clear sky
32,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,0,18.41,clear sky
33,Severo-Kurilsk,RU,50.6789,156.125,37.04,75,30,6.55,scattered clouds
34,Ushuaia,AR,-54.8,-68.3,44.26,49,40,14.97,light rain
35,Port Hedland,AU,-20.3167,118.5667,77.05,53,53,5.75,broken clouds
36,Mezen,RU,65.8522,44.24,29.14,90,80,4.38,broken clouds
37,Atuona,PF,-9.8,-139.0333,77.79,76,21,17.69,few clouds
38,Embonas,GR,36.2269,27.8564,66.83,66,0,9.66,clear sky
39,Ola,RU,59.5833,151.2833,25.21,72,98,14.03,overcast clouds
40,Marsa Matruh,EG,31.3525,27.2453,71.96,61,0,10.02,clear sky
41,Castro,BR,-24.7911,-50.0119,75.54,39,100,9.82,overcast clouds
42,Luderitz,NA,-26.6481,15.1594,63.84,70,43,18.28,scattered clouds
43,Lithakia,GR,37.7167,20.8333,72.77,78,20,6.91,few clouds
44,Chuy,UY,-33.6971,-53.4616,65.73,55,100,2.8,moderate rain
45,Acapulco,MX,16.8634,-99.8901,73.22,100,90,11.5,overcast clouds
46,Mannarakkat,IN,10.9833,76.4667,80.15,96,100,1.34,overcast clouds
47,Narsaq,GL,60.9167,-46.05,37.62,85,100,1.36,overcast clouds
48,Tahe,CN,52.3333,124.7333,34.61,83,7,3.38,clear sky
49,Mokhotlong,LS,-29.2894,29.0675,65.43,17,5,24.43,clear sky
50,Dikson,RU,73.5069,80.5464,10.67,87,100,12.44,overcast clouds
51,Yar-Sale,RU,66.8333,70.8333,30.88,99,100,6.67,light snow
52,Norsup,VU,-16.0667,167.3833,78.44,86,77,8.12,broken clouds
53,New Norfolk,AU,-42.7826,147.0587,52.66,83,100,5.99,light rain
54,Port Alfred,ZA,-33.5906,26.891,65.26,63,50,32.57,scattered clouds
55,Kalmunai,LK,7.4167,81.8167,79.99,79,81,1.45,broken clouds
56,Hithadhoo,MV,-0.6,73.0833,82.11,74,99,12.08,overcast clouds
57,Markova,UA,48.6758,24.4138,47.79,57,86,7.09,overcast clouds
58,Namtsy,RU,62.7161,129.6658,14.11,98,95,1.54,overcast clouds
59,Klaksvik,FO,62.2266,-6.589,50.92,95,100,40.73,overcast clouds
60,Saint-Philippe,RE,-21.3585,55.7679,77.49,84,68,11.05,broken clouds
61,Vaini,TO,-21.2,-175.2,69.96,88,75,9.22,broken clouds
62,Cape Town,ZA,-33.9258,18.4232,69.1,48,67,5.99,broken clouds
63,Roald,NO,62.5833,6.1333,46.54,61,0,10.36,clear sky
64,Tasiilaq,GL,65.6145,-37.6368,32.16,92,100,3.04,light snow
65,Geraldton,AU,-28.7667,114.6,64.81,82,0,8.05,clear sky
66,Aripuana,BR,-9.1667,-60.6333,95.99,36,84,4.92,broken clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,64.42,65,75,5.99,broken clouds
68,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,73,40,14.0,scattered clouds
69,Carnarvon,AU,-24.8667,113.6333,71.65,72,0,20.85,clear sky
70,Bodden Town,KY,19.2833,-81.25,87.01,77,20,5.01,few clouds
71,Avarua,CK,-21.2078,-159.775,68.05,68,75,6.91,light rain
72,Hobart,AU,-42.8794,147.3294,53.02,92,90,3.0,light intensity shower rain
73,Mataura,NZ,-46.1927,168.8643,50.83,81,100,1.07,overcast clouds
74,Port Elizabeth,ZA,-33.918,25.5701,67.1,55,0,31.07,clear sky
75,Aykhal,RU,66.0,111.5,22.46,93,63,19.64,broken clouds
76,Richards Bay,ZA,-28.783,32.0377,81.77,61,10,3.85,clear sky
77,Cidreira,BR,-30.1811,-50.2056,75.13,64,59,12.62,broken clouds
78,Sisimiut,GL,66.9395,-53.6735,22.55,90,100,12.91,light snow
79,Yellowknife,CA,62.456,-114.3525,40.41,85,75,17.27,broken clouds
80,Matam,SN,15.6175,-13.3303,100.31,13,4,7.25,clear sky
81,Oksovskiy,RU,62.6062,39.8984,31.44,89,99,7.72,overcast clouds
82,Santa Comba,ES,43.0331,-8.8093,59.68,58,100,5.44,light rain
83,Norman Wells,CA,65.282,-126.8329,27.54,94,53,2.55,broken clouds
84,Waddan,LY,29.1614,16.139,93.58,13,93,14.65,overcast clouds
85,Korla,CN,41.7597,86.1469,55.98,37,100,8.88,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,72.0,60,20,10.36,few clouds
87,Victoria,HK,22.2855,114.1577,70.32,77,84,1.01,light rain
88,Champerico,GT,14.3,-91.9167,89.76,80,81,3.91,broken clouds
89,Khatanga,RU,71.9667,102.5,14.18,93,100,16.84,overcast clouds
90,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,37.6,88,76,7.7,broken clouds
91,Lebu,CL,-37.6167,-73.65,53.19,64,97,4.41,overcast clouds
92,Qaanaaq,GL,77.484,-69.3632,-1.03,59,0,8.7,clear sky
93,Hasaki,JP,35.7333,140.8333,43.2,52,0,15.59,clear sky
94,Shenzhen,CN,22.5455,114.0683,70.21,80,72,7.36,broken clouds
95,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,76,53,5.84,broken clouds
96,Hamilton,US,39.1834,-84.5333,55.89,85,40,1.01,scattered clouds
97,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.11,53,100,4.18,moderate rain
98,Perevolotskiy,RU,51.8763,54.1938,50.92,76,100,9.57,overcast clouds
99,Port Hardy,CA,50.6996,-127.4199,48.2,92,100,5.59,moderate rain
100,Ben Tre,VN,10.2333,106.3833,75.94,92,90,1.86,light rain
101,Manadhoo,MV,5.7667,73.3833,81.43,78,20,14.23,few clouds
102,Kapaa,US,22.0752,-159.319,75.52,92,40,16.11,light rain
103,Baghdad,IQ,33.3406,44.4009,80.51,26,75,4.61,broken clouds
104,Jamestown,US,42.097,-79.2353,47.01,87,40,1.01,scattered clouds
105,Ugoofaaru,MV,5.6667,73.0,81.27,78,14,13.15,few clouds
106,Birao,CF,10.2849,22.7882,90.09,46,84,3.91,broken clouds
107,Butaritari,KI,3.0707,172.7902,81.45,71,74,10.49,broken clouds
108,Kovur,IN,14.4833,79.9833,82.38,75,93,7.16,overcast clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,16.11,overcast clouds
110,Moundou,TD,8.5667,16.0833,91.63,66,20,0.0,few clouds
111,Baykit,RU,61.67,96.37,33.46,86,99,10.11,overcast clouds
112,Deputatskiy,RU,69.3,139.9,-8.79,99,89,3.24,overcast clouds
113,Santo Antonio Do Ica,BR,-3.1022,-67.9397,92.14,49,32,3.36,scattered clouds
114,Aketi,CD,2.7388,23.7833,82.44,64,92,1.48,overcast clouds
115,Khvoynaya,RU,58.9,34.5333,38.35,93,100,6.53,overcast clouds
116,Dalianwan,CN,39.0286,121.695,44.64,81,0,2.24,clear sky
117,Saldanha,ZA,-33.0117,17.9442,61.14,68,20,12.15,few clouds
118,Hilo,US,19.7297,-155.09,72.81,96,90,6.91,moderate rain
119,Esperance,AU,-33.8667,121.9,51.64,70,0,17.72,clear sky
120,Vila Velha,BR,-20.3297,-40.2925,80.55,65,40,12.66,scattered clouds
121,Camocim,BR,-2.9022,-40.8411,90.37,54,92,13.94,overcast clouds
122,Rawson,AR,-43.3002,-65.1023,57.54,27,4,19.28,clear sky
123,East London,ZA,-33.0153,27.9116,67.14,55,0,26.46,clear sky
124,Severiano Melo,BR,-5.7772,-37.9578,92.95,39,91,5.91,overcast clouds
125,Chokurdakh,RU,70.6333,147.9167,-4.67,95,100,5.39,overcast clouds
126,Kurilsk,RU,45.2333,147.8833,44.92,64,88,12.3,overcast clouds
127,San Fernando,PH,15.0286,120.6898,80.15,85,100,4.63,overcast clouds
128,Mayo,US,38.8876,-76.5119,63.55,81,90,0.0,overcast clouds
129,Nikolskoye,RU,59.7035,30.7861,38.39,95,100,9.46,light rain
130,North Bend,US,43.4065,-124.2243,53.94,96,90,3.44,mist
131,Clinton,US,42.587,-82.9199,49.96,87,75,1.01,broken clouds
132,Athabasca,CA,54.7169,-113.2854,33.04,93,100,9.42,snow
133,Lata,PT,40.1629,-8.3327,75.49,43,100,3.24,overcast clouds
134,Albany,US,42.6001,-73.9662,50.61,68,57,4.18,broken clouds
135,Ha Giang,VN,22.8333,104.9833,63.25,87,61,1.79,broken clouds
136,Airai,TL,-8.9266,125.4092,62.89,89,92,1.79,overcast clouds
137,Benguela,AO,-12.5763,13.4055,79.18,64,62,5.68,broken clouds
